Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW19,KEYSW,MX-Hotswap-1U,129.39475,-111.4557,0.0,bottom
SW2,KEYSW,MX-Hotswap-1U,81.76975,-92.4057,0.0,bottom
SW20,KEYSW,MX-Hotswap-1U,148.44475,-111.4557,0.0,bottom
SW21,KEYSW,MX-Hotswap-1U,167.49475,-111.4557,0.0,bottom
SW22,KEYSW,MX-Hotswap-1U,186.54475,-111.4557,0.0,bottom
SW23,KEYSW,MX-Hotswap-1U,205.59475,-111.4557,0.0,bottom
SW24,KEYSW,MX-Hotswap-1U,224.64475,-111.4557,0.0,bottom
SW25,KEYSW,MX-Hotswap-1U,243.69475,-111.4557,0.0,bottom
SW26,KEYSW,MX-Hotswap-1U,262.74475,-111.4557,0.0,bottom
SW27,KEYSW,MX-Hotswap-1U,281.79475,-111.4557,0.0,bottom
SW28,KEYSW,MX-Hotswap-1U,300.84475,-111.4557,0.0,bottom
SW29,KEYSW,MX-Hotswap-1.5U,324.65675,-111.4557,0.0,bottom
SW3,KEYSW,MX-Hotswap-1U,100.81975,-92.4057,0.0,bottom
SW31,KEYSW,MX-Hotswap-1.75U,69.86355,-130.49557,0.0,bottom
SW32,KEYSW,MX-Hotswap-1U,96.05725,-130.5057,0.0,bottom
SW33,KEYSW,MX-Hotswap-1U,115.10725,-130.5057,0.0,bottom
SW34,KEYSW,MX-Hotswap-1U,134.15725,-130.5057,0.0,bottom
SW35,KEYSW,MX-Hotswap-1U,153.20675,-130.5057,0.0,bottom
SW36,KEYSW,MX-Hotswap-1U,172.25675,-130.5057,0.0,bottom
SW37,KEYSW,MX-Hotswap-1U,191.30675,-130.5057,0.0,bottom
SW38,KEYSW,MX-Hotswap-1U,210.35675,-130.5057,0.0,bottom
SW39,KEYSW,MX-Hotswap-1U,229.40675,-130.5057,0.0,bottom
SW4,KEYSW,MX-Hotswap-1U,119.86975,-92.4057,0.0,bottom
SW40,KEYSW,MX-Hotswap-1U,248.45675,-130.5057,0.0,bottom
SW41,KEYSW,MX-Hotswap-1U,267.50675,-130.5057,0.0,bottom
SW42,KEYSW,MX-Hotswap-1U,286.55675,-130.5057,0.0,bottom
SW43,KEYSW,MX-Hotswap-2.25U,318.13525,-133.7437,0.0,bottom
SW45,KEYSW,MX-Hotswap-2.25U,75.24745,-152.7937,0.0,bottom
SW46,KEYSW,MX-Hotswap-1U,105.58225,-149.5557,0.0,bottom
SW47,KEYSW,MX-Hotswap-1U,124.63225,-149.5557,0.0,bottom
SW48,KEYSW,MX-Hotswap-1U,143.68225,-149.5557,0.0,bottom
SW49,KEYSW,MX-Hotswap-1U,162.73275,-149.5557,0.0,bottom
SW5,KEYSW,MX-Hotswap-1U,138.91975,-92.4057,0.0,bottom
SW50,KEYSW,MX-Hotswap-1U,181.78275,-149.5557,0.0,bottom
SW51,KEYSW,MX-Hotswap-1U,200.83275,-149.5557,0.0,bottom
SW52,KEYSW,MX-Hotswap-1U,219.88275,-149.5557,0.0,bottom
SW53,KEYSW,MX-Hotswap-1U,238.93275,-149.5557,0.0,bottom
SW54,KEYSW,MX-Hotswap-1U,257.98275,-149.5557,0.0,bottom
SW55,KEYSW,MX-Hotswap-1U,277.03275,-149.5557,0.0,bottom
SW56,KEYSW,MX-Hotswap-2.75U,313.37275,-152.7937,0.0,bottom
SW57,KEYSW,MX-Hotswap-1.25U,327.03855,-168.6057,0.0,bottom
SW59,KEYSW,MX-Hotswap-1.25U,65.10095,-168.59557,0.0,bottom
SW6,KEYSW,MX-Hotswap-1U,157.96975,-92.4057,0.0,bottom
SW60,KEYSW,MX-Hotswap-1.25U,88.91355,-168.6057,0.0,bottom
SW61,KEYSW,MX-Hotswap-1.25U,112.72595,-168.59557,0.0,bottom
SW62,KEYSW,MX-Hotswap-7U-ReversedStabilizers,191.929,-170.1038,0.0,bottom
SW7,KEYSW,MX-Hotswap-1U,177.01975,-92.4057,0.0,bottom
SW72,KEYSW,MX-Hotswap-1U,357.746128,-168.6057,0.0,bottom
SW73,KEYSW,MX-Hotswap-1.5U,272.2698,-168.6057,0.0,bottom
SW74,KEYSW,MX-Hotswap-1.5U,300.8448,-168.6057,0.0,bottom
SW75,KEYSW,MX-Hotswap-1U,376.796128,-92.4057,0.0,bottom
SW76,KEYSW,MX-Hotswap-1U,376.796128,-111.4557,0.0,bottom
SW77,KEYSW,MX-Hotswap-1U,376.796128,-149.5557,0.0,bottom
SW78,KEYSW,MX-Hotswap-1U,376.796128,-168.6057,0.0,bottom
SW79,KEYSW,MX-Hotswap-1U,395.846128,-92.4057,0.0,bottom
SW8,KEYSW,MX-Hotswap-1U,196.06975,-92.4057,0.0,bottom
SW80,KEYSW,MX-Hotswap-1U,395.846128,-111.4557,0.0,bottom
SW81,KEYSW,MX-Hotswap-1U,395.846128,-168.6057,0.0,bottom
SW82,KEYSW,MX-Hotswap-1U,357.746128,-92.4147,0.0,bottom
SW83,KEYSW,MX-Hotswap-1U,357.746128,-111.4647,0.0,bottom
SW9,KEYSW,MX-Hotswap-1U,215.11975,-92.4057,0.0,bottom
U1,SN74AHCT125N,N14,368.938333,-78.84,90.0,top
U2,RP2040_Stamp,RP2xxx_Stamp_SMD,352.425,-134.9375,0.0,bottom
USB1,USB_C_GCT_USB4085,USB_C_GCT_USB4085,344.0,-63.97,180.0,top
